sample_id,config_name,tex_res,remesh,vertex_count,clip_score,clip_std
0001,tex1024_none,1024,none,-1,0.7361030876636505,0.1285235135924641
0002,tex1024_none,1024,none,-1,0.6235311701893806,0.1251886127425762
0003,tex1024_none,1024,none,-1,0.6981881782412529,0.12826611742888533
0004,tex1024_none,1024,none,-1,0.7090835645794868,0.11040224389068311
0005,tex1024_none,1024,none,-1,0.7056957930326462,0.1371798485042889
0006,tex1024_none,1024,none,-1,0.7002418115735054,0.0812513611737248
0007,tex1024_none,1024,none,-1,0.6287417709827423,0.11380925778491156
0008,tex1024_none,1024,none,-1,0.7679933905601501,0.09753441280796085
0009,tex1024_none,1024,none,-1,0.6510955542325974,0.13131043797478595
0010,tex1024_none,1024,none,-1,0.5394065678119659,0.13742383934021207
0011,tex1024_none,1024,none,-1,0.5626771301031113,0.14443406412633722
0012,tex1024_none,1024,none,-1,0.6262829750776291,0.08238018768121748
0013,tex1024_none,1024,none,-1,0.6984212175011635,0.14412689954123434
0014,tex1024_none,1024,none,-1,0.7317334115505219,0.10983724200041854
0015,tex1024_none,1024,none,-1,0.716256894171238,0.11941406656971447
0016,tex1024_none,1024,none,-1,0.7043747305870056,0.14146612307755924
0017,tex1024_none,1024,none,-1,0.6995600908994675,0.10531090332704265
0018,tex1024_none,1024,none,-1,0.7298981696367264,0.11324072381137798
0019,tex1024_none,1024,none,-1,0.641059085726738,0.1349457736403453
0020,tex1024_none,1024,none,-1,0.7123227193951607,0.11637919592707163
0021,tex1024_none,1024,none,-1,0.6840311735868454,0.14812220419811378
0022,tex1024_none,1024,none,-1,0.8008351027965546,0.05528586133689436
0023,tex1024_none,1024,none,-1,0.6686051934957504,0.10829731116591511
0024,tex1024_none,1024,none,-1,0.6339009404182434,0.14987304966362142
0025,tex1024_none,1024,none,-1,0.7059614285826683,0.09221655424028295
0026,tex1024_none,1024,none,-1,0.7213143482804298,0.09660147430451263
0027,tex1024_none,1024,none,-1,0.6969982534646988,0.1274208697662057
0028,tex1024_none,1024,none,-1,0.6966583728790283,0.12891401201577668
0029,tex1024_none,1024,none,-1,0.7384961917996407,0.1135833937962238
0030,tex1024_none,1024,none,-1,0.7555140405893326,0.05842130256278921
0001,tex1024_quad_v10k,1024,quad,10000,0.7383018061518669,0.13242712891071756
0002,tex1024_quad_v10k,1024,quad,10000,0.6256048828363419,0.1280106441611178
0003,tex1024_quad_v10k,1024,quad,10000,0.6981872990727425,0.1282482716532954
0004,tex1024_quad_v10k,1024,quad,10000,0.7061785608530045,0.10536820603064402
0005,tex1024_quad_v10k,1024,quad,10000,0.7050424143671989,0.13600970729168949
0006,tex1024_quad_v10k,1024,quad,10000,0.7091963663697243,0.09993958575657975
0007,tex1024_quad_v10k,1024,quad,10000,0.6371437162160873,0.12262824261284248
0008,tex1024_quad_v10k,1024,quad,10000,0.7641042023897171,0.09129419999189996
0009,tex1024_quad_v10k,1024,quad,10000,0.657634511590004,0.14100584218230403
0010,tex1024_quad_v10k,1024,quad,10000,0.5461363941431046,0.14866051961986657
0011,tex1024_quad_v10k,1024,quad,10000,0.5627638399600983,0.1459888606466915
0012,tex1024_quad_v10k,1024,quad,10000,0.6268759369850159,0.08395997342499917
0013,tex1024_quad_v10k,1024,quad,10000,0.695412665605545,0.13950673732219843
0014,tex1024_quad_v10k,1024,quad,10000,0.7354838401079178,0.1157117405987328
0015,tex1024_quad_v10k,1024,quad,10000,0.7148482650518417,0.11749054496290208
0016,tex1024_quad_v10k,1024,quad,10000,0.7050435915589333,0.1425482248581668
0017,tex1024_quad_v10k,1024,quad,10000,0.698827400803566,0.10490390953011185
0018,tex1024_quad_v10k,1024,quad,10000,0.727858267724514,0.11045922281067601
0019,tex1024_quad_v10k,1024,quad,10000,0.6413529291749,0.13575509331672703
0020,tex1024_quad_v10k,1024,quad,10000,0.7158366367220879,0.12127719239533878
0021,tex1024_quad_v10k,1024,quad,10000,0.6837572976946831,0.14760462750939293
0022,tex1024_quad_v10k,1024,quad,10000,0.7933017686009407,0.04513181183597157
0023,tex1024_quad_v10k,1024,quad,10000,0.6672320365905762,0.09987474252462683
