sample_id,tex_res,remesh,vertex_count,elapsed_s,peak_mem_mb,success
0001,512,none,-1,3.340189106762409,17167.79736328125,1
0002,512,none,-1,3.3484812695533037,17165.82861328125,1
0003,512,none,-1,3.3628330267965794,17168.83251953125,1
0004,512,none,-1,3.3326898105442524,17165.82861328125,1
0005,512,none,-1,3.3269280306994915,17168.83251953125,1
0006,512,none,-1,3.347579635679722,17165.82861328125,1
0007,512,none,-1,3.3894280958920717,17165.82861328125,1
0008,512,none,-1,3.3655012361705303,17165.82861328125,1
0009,512,none,-1,3.326439728960395,17165.82861328125,1
0010,512,none,-1,3.39276429079473,17168.83251953125,1
0011,512,none,-1,3.371426308527589,17165.82861328125,1
0012,512,none,-1,3.379672136157751,17165.82861328125,1
0013,512,none,-1,3.316995980218053,17165.82861328125,1
0014,512,none,-1,3.3394979275763035,17165.82861328125,1
0015,512,none,-1,3.450210263952613,17168.83251953125,1
0016,512,none,-1,3.3323627281934023,17165.82861328125,1
0017,512,none,-1,3.3171000480651855,17165.82861328125,1
0018,512,none,-1,3.275787128135562,17165.82861328125,1
0019,512,none,-1,3.4168455358594656,17168.83251953125,1
0020,512,none,-1,3.3401536885648966,17168.83251953125,1
0021,512,none,-1,3.3082433491945267,17165.82861328125,1
0022,512,none,-1,3.2942337598651648,17165.82861328125,1
0023,512,none,-1,3.3868965916335583,17165.82861328125,1
0024,512,none,-1,3.308221846818924,17165.82861328125,1
0025,512,none,-1,3.409356541931629,17168.83251953125,1
0026,512,none,-1,3.3827794771641493,17165.82861328125,1
0027,512,none,-1,3.3358641639351845,17168.83251953125,1
0028,512,none,-1,3.4738204404711723,17165.82861328125,1
0029,512,none,-1,3.2784702833741903,17165.82861328125,1
0030,512,none,-1,3.317265447229147,17165.82861328125,1
0001,1024,none,-1,3.423707192763686,17165.82861328125,1
0002,1024,none,-1,3.445449836552143,17168.83251953125,1
0003,1024,none,-1,3.472223361954093,17165.82861328125,1
0004,1024,none,-1,3.4106454867869616,17168.83251953125,1
0005,1024,none,-1,3.441237784922123,17165.82861328125,1
0006,1024,none,-1,3.427380481734872,17165.82861328125,1
0007,1024,none,-1,3.4811653438955545,17165.82861328125,1
0008,1024,none,-1,3.4486091788858175,17165.82861328125,1
0009,1024,none,-1,3.419802416115999,17168.83251953125,1
0010,1024,none,-1,3.446591665968299,17165.82861328125,1
0011,1024,none,-1,3.479496857151389,17165.82861328125,1
0012,1024,none,-1,3.4855009857565165,17165.82861328125,1
0013,1024,none,-1,3.3989727906882763,17165.82861328125,1
0014,1024,none,-1,3.4325943123549223,17165.82861328125,1
0015,1024,none,-1,3.5512782372534275,17168.83251953125,1
0016,1024,none,-1,3.406098511070013,17165.82861328125,1
0017,1024,none,-1,3.3932753559201956,17165.82861328125,1
0018,1024,none,-1,3.389964113011956,17165.82861328125,1
0019,1024,none,-1,3.5462680105119944,17168.83251953125,1
0020,1024,none,-1,3.4524521119892597,17165.82861328125,1
0021,1024,none,-1,3.4920120649039745,17165.82861328125,1
0022,1024,none,-1,3.386587219312787,17165.82861328125,1
0023,1024,none,-1,3.4891436509788036,17165.82861328125,1
0024,1024,none,-1,3.4088914152234793,17165.82861328125,1
0025,1024,none,-1,3.4976434260606766,17165.82861328125,1
0026,1024,none,-1,3.478203061968088,17168.83251953125,1
0027,1024,none,-1,3.405480531975627,17165.82861328125,1
0028,1024,none,-1,3.4049120992422104,17168.83251953125,1
0029,1024,none,-1,3.3951329570263624,17165.82861328125,1
0030,1024,none,-1,3.397626094520092,17165.82861328125,1
0001,2048,none,-1,4.1112314611673355,17165.82861328125,1
0002,2048,none,-1,4.122582418844104,17165.82861328125,1
0003,2048,none,-1,4.141060926020145,17165.82861328125,1
0004,2048,none,-1,4.100829498842359,17165.82861328125,1
0005,2048,none,-1,4.127995068207383,17168.83251953125,1
0006,2048,none,-1,4.078582188114524,17165.82861328125,1
0007,2048,none,-1,4.184821743518114,17165.82861328125,1
0008,2048,none,-1,4.108835611492395,17165.82861328125,1
0009,2048,none,-1,4.092373726889491,17165.82861328125,1
0010,2048,none,-1,4.158249652013183,17165.82861328125,1
0011,2048,none,-1,4.1820959988981485,17168.83251953125,1
0012,2048,none,-1,4.1738715171813965,17165.82861328125,1
0013,2048,none,-1,4.110052481293678,17165.82861328125,1
0014,2048,none,-1,4.065010337159038,17165.82861328125,1
0015,2048,none,-1,4.317247776314616,17165.82861328125,1
0016,2048,none,-1,4.088811963796616,17165.82861328125,1
0017,2048,none,-1,4.055014215409756,17165.82861328125,1
0018,2048,none,-1,4.082004824653268,17165.82861328125,1
0019,2048,none,-1,4.201576167717576,17165.82861328125,1
0020,2048,none,-1,4.151184219866991,17165.82861328125,1
0021,2048,none,-1,4.089592568576336,17165.82861328125,1
0022,2048,none,-1,4.082719603553414,17165.82861328125,1
0023,2048,none,-1,4.152223650366068,17165.82861328125,1
0024,2048,none,-1,4.088334599509835,17165.82861328125,1
0025,2048,none,-1,4.148506524041295,17168.83251953125,1
0026,2048,none,-1,4.273742588236928,17165.82861328125,1
0027,2048,none,-1,4.066773368045688,17165.82861328125,1
0028,2048,none,-1,4.092854918912053,17165.82861328125,1
0029,2048,none,-1,4.073380438610911,17165.82861328125,1
0030,2048,none,-1,4.103698987513781,17165.82861328125,1
0001,512,triangle,5000,3.9730405304580927,17168.83251953125,1
0002,512,triangle,5000,3.954756250604987,17165.82861328125,1
0003,512,triangle,5000,3.9892460089176893,17165.82861328125,1
0004,512,triangle,5000,3.960149683058262,17165.82861328125,1
0005,512,triangle,5000,3.951716620475054,17165.82861328125,1
0006,512,triangle,5000,3.97057081758976,17165.82861328125,1
0007,512,triangle,5000,3.9542372915893793,17168.83251953125,1
0008,512,triangle,5000,3.98910946957767,17165.82861328125,1
0009,512,triangle,5000,3.9556135162711143,17168.83251953125,1
0010,512,triangle,5000,3.966833144426346,17165.82861328125,1
0011,512,triangle,5000,3.9782137125730515,17165.82861328125,1
0012,512,triangle,5000,3.9727626778185368,17165.82861328125,1
0013,512,triangle,5000,3.955367013812065,17165.82861328125,1
0014,512,triangle,5000,3.9436507876962423,17165.82861328125,1
0015,512,triangle,5000,4.019881177693605,17165.82861328125,1
0016,512,triangle,5000,4.028982874006033,17165.82861328125,1
0017,512,triangle,5000,4.059964016079903,17165.82861328125,1
0018,512,triangle,5000,4.04210626706481,17165.82861328125,1
