sample_id,image_type,image_path,glb_path,success,clip_mean,clip_std,n_views,detail_scores,error
0001,input,/root/autodl-tmp/sf3d/dataset/base30/0001/input.png,/root/autodl-tmp/sf3d/dataset/base30/0001/input.glb,1,0.6065889596939087,0.03289434313774109,8,"[0.6029691696166992, 0.6029691696166992, 0.5528658032417297, 0.6029691696166992, 0.6029691696166992, 0.6029691696166992, 0.6820310354232788, 0.6029691696166992]",
0001,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0001/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0001/input_nobg.glb,1,0.7235844135284424,0.11199390143156052,8,"[0.6592479348182678, 0.6592479348182678, 0.894226610660553, 0.6592479348182678, 0.6592479348182678, 0.6592479348182678, 0.9389613270759583, 0.6592479348182678]",
0002,input,/root/autodl-tmp/sf3d/dataset/base30/0002/input.png,/root/autodl-tmp/sf3d/dataset/base30/0002/input.glb,1,0.5529751777648926,0.04530792310833931,8,"[0.5314075350761414, 0.5314075350761414, 0.5664016604423523, 0.5314075350761414, 0.5314075350761414, 0.5314075350761414, 0.6689545512199402, 0.5314075350761414]",
0002,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0002/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0002/input_nobg.glb,1,0.6413125395774841,0.13033734261989594,8,"[0.5717035531997681, 0.5717035531997681, 0.7511122822761536, 0.5717035531997681, 0.5717035531997681, 0.5717035531997681, 0.9491665959358215, 0.5717035531997681]",
0003,input,/root/autodl-tmp/sf3d/dataset/base30/0003/input.png,/root/autodl-tmp/sf3d/dataset/base30/0003/input.glb,1,0.5709164142608643,0.030449075624346733,8,"[0.5534378290176392, 0.5534378290176392, 0.6168273091316223, 0.5534378290176392, 0.5534378290176392, 0.5534378290176392, 0.6298770308494568, 0.5534378290176392]",
0003,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0003/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0003/input_nobg.glb,1,0.702302098274231,0.12184353172779083,8,"[0.6326271891593933, 0.6326271891593933, 0.8777385950088501, 0.6326271891593933, 0.6326271891593933, 0.6326271891593933, 0.9449154734611511, 0.6326271891593933]",
0004,input,/root/autodl-tmp/sf3d/dataset/base30/0004/input.png,/root/autodl-tmp/sf3d/dataset/base30/0004/input.glb,1,0.6035370230674744,0.0656208023428917,8,"[0.5658993124961853, 0.5658993124961853, 0.7314577102661133, 0.5658993124961853, 0.5658993124961853, 0.5658993124961853, 0.7014422416687012, 0.5658993124961853]",
0004,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0004/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0004/input_nobg.glb,1,0.6758654117584229,0.07902146875858307,8,"[0.6322221755981445, 0.6322221755981445, 0.7607434988021851, 0.6322221755981445, 0.6322221755981445, 0.6322221755981445, 0.8528469204902649, 0.6322221755981445]",
0005,input,/root/autodl-tmp/sf3d/dataset/base30/0005/input.png,/root/autodl-tmp/sf3d/dataset/base30/0005/input.glb,1,0.6179854273796082,0.017814600840210915,8,"[0.6095959544181824, 0.6095959544181824, 0.6225424408912659, 0.6095959544181824, 0.6095959544181824, 0.6095959544181824, 0.6637654900550842, 0.6095959544181824]",
0005,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0005/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0005/input_nobg.glb,1,0.6926379203796387,0.11812854558229446,8,"[0.6255607604980469, 0.6255607604980469, 0.8511458039283752, 0.6255607604980469, 0.6255607604980469, 0.6255607604980469, 0.9365928173065186, 0.6255607604980469]",
0006,input,/root/autodl-tmp/sf3d/dataset/base30/0006/input.png,/root/autodl-tmp/sf3d/dataset/base30/0006/input.glb,1,0.5816624760627747,0.017011985182762146,8,"[0.5777403116226196, 0.5777403116226196, 0.562235414981842, 0.5777403116226196, 0.5777403116226196, 0.5777403116226196, 0.6246223449707031, 0.5777403116226196]",
0006,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0006/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0006/input_nobg.glb,1,0.6762924194335938,0.0732593834400177,8,"[0.6364712715148926, 0.6364712715148926, 0.7463696002960205, 0.6364712715148926, 0.6364712715148926, 0.6364712715148926, 0.8451424837112427, 0.6364712715148926]",
0007,input,/root/autodl-tmp/sf3d/dataset/base30/0007/input.png,/root/autodl-tmp/sf3d/dataset/base30/0007/input.glb,1,0.5365100502967834,0.033943887799978256,8,"[0.5281981825828552, 0.5281981825828552, 0.4999662935733795, 0.5281981825828552, 0.5281981825828552, 0.5281981825828552, 0.6229249238967896, 0.5281981825828552]",
0007,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0007/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0007/input_nobg.glb,1,0.6206310987472534,0.08019836246967316,8,"[0.581140398979187, 0.581140398979187, 0.6553602814674377, 0.581140398979187, 0.581140398979187, 0.581140398979187, 0.8228463530540466, 0.581140398979187]",
0008,input,/root/autodl-tmp/sf3d/dataset/base30/0008/input.png,/root/autodl-tmp/sf3d/dataset/base30/0008/input.glb,1,0.6451300978660583,0.061211079359054565,8,"[0.6161666512489319, 0.6161666512489319, 0.6618730425834656, 0.6161666512489319, 0.6161666512489319, 0.6161666512489319, 0.802167534828186, 0.6161666512489319]",
0008,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0008/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0008/input_nobg.glb,1,0.7696832418441772,0.07706092298030853,8,"[0.7257222533226013, 0.7257222533226013, 0.8778443336486816, 0.7257222533226013, 0.7257222533226013, 0.7257222533226013, 0.9252880215644836, 0.7257222533226013]",
0009,input,/root/autodl-tmp/sf3d/dataset/base30/0009/input.png,/root/autodl-tmp/sf3d/dataset/base30/0009/input.glb,1,0.5855072140693665,0.0013956059701740742,8,"[0.5849380493164062, 0.5849380493164062, 0.5891904234886169, 0.5849380493164062, 0.5849380493164062, 0.5849380493164062, 0.5852388739585876, 0.5849380493164062]",
0009,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0009/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0009/input_nobg.glb,1,0.6416003704071045,0.09893660992383957,8,"[0.5920518636703491, 0.5920518636703491, 0.691792368888855, 0.5920518636703491, 0.5920518636703491, 0.5920518636703491, 0.8886996507644653, 0.5920518636703491]",
0010,input,/root/autodl-tmp/sf3d/dataset/base30/0010/input.png,/root/autodl-tmp/sf3d/dataset/base30/0010/input.glb,1,0.384491503238678,0.023898929357528687,8,"[0.3792874217033386, 0.3792874217033386, 0.35583600401878357, 0.3792874217033386, 0.3792874217033386, 0.3792874217033386, 0.44437170028686523, 0.3792874217033386]",
0010,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0010/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0010/input_nobg.glb,1,0.5372960567474365,0.09469573199748993,8,"[0.49846962094306946, 0.49846962094306946, 0.5204369425773621, 0.49846962094306946, 0.49846962094306946, 0.49846962094306946, 0.787114143371582, 0.49846962094306946]",
0011,input,/root/autodl-tmp/sf3d/dataset/base30/0011/input.png,/root/autodl-tmp/sf3d/dataset/base30/0011/input.glb,1,0.4955916702747345,0.0964457169175148,8,"[0.4442557394504547, 0.4442557394504547, 0.5748826861381531, 0.4442557394504547, 0.4442557394504547, 0.4442557394504547, 0.7243161201477051, 0.4442557394504547]",
0011,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0011/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0011/input_nobg.glb,1,0.5543332099914551,0.12510906159877777,8,"[0.4907010495662689, 0.4907010495662689, 0.6268219947814941, 0.4907010495662689, 0.4907010495662689, 0.4907010495662689, 0.8636377453804016, 0.4907010495662689]",
0012,input,/root/autodl-tmp/sf3d/dataset/base30/0012/input.png,/root/autodl-tmp/sf3d/dataset/base30/0012/input.glb,1,0.580880880355835,0.06215507164597511,8,"[0.5542773008346558, 0.5542773008346558, 0.5772650837898254, 0.5542773008346558, 0.5542773008346558, 0.5542773008346558, 0.7441182732582092, 0.5542773008346558]",
0012,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0012/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0012/input_nobg.glb,1,0.6218996644020081,0.08323592692613602,8,"[0.5863389372825623, 0.5863389372825623, 0.6166084408760071, 0.5863389372825623, 0.5863389372825623, 0.5863389372825623, 0.8405554890632629, 0.5863389372825623]",
0013,input,/root/autodl-tmp/sf3d/dataset/base30/0013/input.png,/root/autodl-tmp/sf3d/dataset/base30/0013/input.glb,1,0.5644529461860657,0.07945356518030167,8,"[0.5375065207481384, 0.5375065207481384, 0.516691267490387, 0.5375065207481384, 0.5375065207481384, 0.5375065207481384, 0.7738929390907288, 0.5375065207481384]",
0013,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0013/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0013/input_nobg.glb,1,0.6805318593978882,0.10998356342315674,8,"[0.618429958820343, 0.618429958820343, 0.8209484219551086, 0.618429958820343, 0.618429958820343, 0.618429958820343, 0.9127265810966492, 0.618429958820343]",
0014,input,/root/autodl-tmp/sf3d/dataset/base30/0014/input.png,/root/autodl-tmp/sf3d/dataset/base30/0014/input.glb,1,0.6048484444618225,0.02393430285155773,8,"[0.5936669707298279, 0.5936669707298279, 0.6102664470672607, 0.5936669707298279, 0.5936669707298279, 0.5936669707298279, 0.6665193438529968, 0.5936669707298279]",
0014,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0014/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0014/input_nobg.glb,1,0.6996358633041382,0.07854589819908142,8,"[0.6599527597427368, 0.6599527597427368, 0.7426536679267883, 0.6599527597427368, 0.6599527597427368, 0.6599527597427368, 0.8947169780731201, 0.6599527597427368]",
0015,input,/root/autodl-tmp/sf3d/dataset/base30/0015/input.png,/root/autodl-tmp/sf3d/dataset/base30/0015/input.glb,1,0.6150259375572205,0.0664323940873146,8,"[0.5767772793769836, 0.5767772793769836, 0.7396469712257385, 0.5767772793769836, 0.5767772793769836, 0.5767772793769836, 0.7198970317840576, 0.5767772793769836]",
0015,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0015/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0015/input_nobg.glb,1,0.6993831396102905,0.10206993669271469,8,"[0.6419650316238403, 0.6419650316238403, 0.8256914615631104, 0.6419650316238403, 0.6419650316238403, 0.6419650316238403, 0.9175834059715271, 0.6419650316238403]",
0016,input,/root/autodl-tmp/sf3d/dataset/base30/0016/input.png,/root/autodl-tmp/sf3d/dataset/base30/0016/input.glb,1,0.6230733394622803,0.13364580273628235,8,"[0.5466073751449585, 0.5466073751449585, 0.8166903853416443, 0.5466073751449585, 0.5466073751449585, 0.5466073751449585, 0.8882521390914917, 0.5466073751449585]",
