sample_id,image_type,image_path,output_glb,success,elapsed_s,peak_mem_mb,meta_json,exit_code
0013,input,/root/autodl-tmp/sf3d/dataset/base30/0013/input.png,/root/autodl-tmp/sf3d/dataset/base30/0013/input.glb,1,3.5024937875568867,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0013/input.glb.meta.json,0
0013,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0013/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0013/input_nobg.glb,1,3.4265122693032026,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0013/input_nobg.glb.meta.json,0
0014,input,/root/autodl-tmp/sf3d/dataset/base30/0014/input.png,/root/autodl-tmp/sf3d/dataset/base30/0014/input.glb,1,3.522004596889019,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0014/input.glb.meta.json,0
0014,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0014/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0014/input_nobg.glb,1,3.46959425508976,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0014/input_nobg.glb.meta.json,0
0015,input,/root/autodl-tmp/sf3d/dataset/base30/0015/input.png,/root/autodl-tmp/sf3d/dataset/base30/0015/input.glb,1,3.4966103192418814,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0015/input.glb.meta.json,0
0015,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0015/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0015/input_nobg.glb,1,3.569765940308571,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0015/input_nobg.glb.meta.json,0
0016,input,/root/autodl-tmp/sf3d/dataset/base30/0016/input.png,/root/autodl-tmp/sf3d/dataset/base30/0016/input.glb,1,3.4364509489387274,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0016/input.glb.meta.json,0
0016,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0016/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0016/input_nobg.glb,1,3.4311954583972692,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0016/input_nobg.glb.meta.json,0
0017,input,/root/autodl-tmp/sf3d/dataset/base30/0017/input.png,/root/autodl-tmp/sf3d/dataset/base30/0017/input.glb,1,3.5258491206914186,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0017/input.glb.meta.json,0
0017,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0017/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0017/input_nobg.glb,1,3.434968212619424,17168.83251953125,/root/autodl-tmp/sf3d/dataset/base30/0017/input_nobg.glb.meta.json,0
0018,input,/root/autodl-tmp/sf3d/dataset/base30/0018/input.png,/root/autodl-tmp/sf3d/dataset/base30/0018/input.glb,1,3.5066089183092117,17168.83251953125,/root/autodl-tmp/sf3d/dataset/base30/0018/input.glb.meta.json,0
0018,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0018/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0018/input_nobg.glb,1,3.4064718391746283,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0018/input_nobg.glb.meta.json,0
0019,input,/root/autodl-tmp/sf3d/dataset/base30/0019/input.png,/root/autodl-tmp/sf3d/dataset/base30/0019/input.glb,1,3.489249251782894,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0019/input.glb.meta.json,0
0019,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0019/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0019/input_nobg.glb,1,3.5391616839915514,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0019/input_nobg.glb.meta.json,0
0020,input,/root/autodl-tmp/sf3d/dataset/base30/0020/input.png,/root/autodl-tmp/sf3d/dataset/base30/0020/input.glb,1,3.5223457124084234,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0020/input.glb.meta.json,0
0020,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0020/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0020/input_nobg.glb,1,3.4595028571784496,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0020/input_nobg.glb.meta.json,0
0021,input,/root/autodl-tmp/sf3d/dataset/base30/0021/input.png,/root/autodl-tmp/sf3d/dataset/base30/0021/input.glb,1,3.5040854401886463,17168.83251953125,/root/autodl-tmp/sf3d/dataset/base30/0021/input.glb.meta.json,0
0021,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0021/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0021/input_nobg.glb,1,3.451750921085477,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0021/input_nobg.glb.meta.json,0
0022,input,/root/autodl-tmp/sf3d/dataset/base30/0022/input.png,/root/autodl-tmp/sf3d/dataset/base30/0022/input.glb,1,3.479560725390911,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0022/input.glb.meta.json,0
0022,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0022/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0022/input_nobg.glb,1,3.444253895431757,17168.83251953125,/root/autodl-tmp/sf3d/dataset/base30/0022/input_nobg.glb.meta.json,0
0023,input,/root/autodl-tmp/sf3d/dataset/base30/0023/input.png,/root/autodl-tmp/sf3d/dataset/base30/0023/input.glb,1,3.5161631293594837,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0023/input.glb.meta.json,0
0023,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0023/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0023/input_nobg.glb,1,3.5217705853283405,17168.83251953125,/root/autodl-tmp/sf3d/dataset/base30/0023/input_nobg.glb.meta.json,0
0024,input,/root/autodl-tmp/sf3d/dataset/base30/0024/input.png,/root/autodl-tmp/sf3d/dataset/base30/0024/input.glb,1,3.478912867605686,17168.83251953125,/root/autodl-tmp/sf3d/dataset/base30/0024/input.glb.meta.json,0
0024,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0024/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0024/input_nobg.glb,1,3.424392659217119,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0024/input_nobg.glb.meta.json,0
0025,input,/root/autodl-tmp/sf3d/dataset/base30/0025/input.png,/root/autodl-tmp/sf3d/dataset/base30/0025/input.glb,1,3.510830922052264,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0025/input.glb.meta.json,0
0025,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0025/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0025/input_nobg.glb,1,3.5176202785223722,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0025/input_nobg.glb.meta.json,0
0026,input,/root/autodl-tmp/sf3d/dataset/base30/0026/input.png,/root/autodl-tmp/sf3d/dataset/base30/0026/input.glb,1,3.516674965620041,17168.83251953125,/root/autodl-tmp/sf3d/dataset/base30/0026/input.glb.meta.json,0
0026,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0026/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0026/input_nobg.glb,1,3.535962052643299,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0026/input_nobg.glb.meta.json,0
0027,input,/root/autodl-tmp/sf3d/dataset/base30/0027/input.png,/root/autodl-tmp/sf3d/dataset/base30/0027/input.glb,1,3.5385437719523907,17168.83251953125,/root/autodl-tmp/sf3d/dataset/base30/0027/input.glb.meta.json,0
0027,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0027/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0027/input_nobg.glb,1,3.4367658849805593,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0027/input_nobg.glb.meta.json,0
0028,input,/root/autodl-tmp/sf3d/dataset/base30/0028/input.png,/root/autodl-tmp/sf3d/dataset/base30/0028/input.glb,1,3.4844888355582952,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0028/input.glb.meta.json,0
0028,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0028/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0028/input_nobg.glb,1,3.4791006799787283,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0028/input_nobg.glb.meta.json,0
0029,input,/root/autodl-tmp/sf3d/dataset/base30/0029/input.png,/root/autodl-tmp/sf3d/dataset/base30/0029/input.glb,1,3.4956107307225466,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0029/input.glb.meta.json,0
0029,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0029/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0029/input_nobg.glb,1,3.421431951224804,17168.83251953125,/root/autodl-tmp/sf3d/dataset/base30/0029/input_nobg.glb.meta.json,0
0030,input,/root/autodl-tmp/sf3d/dataset/base30/0030/input.png,/root/autodl-tmp/sf3d/dataset/base30/0030/input.glb,1,3.523293225094676,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0030/input.glb.meta.json,0
0030,input_nobg,/root/autodl-tmp/sf3d/dataset/base30/0030/input_nobg.png,/root/autodl-tmp/sf3d/dataset/base30/0030/input_nobg.glb,1,3.4330812226980925,17165.82861328125,/root/autodl-tmp/sf3d/dataset/base30/0030/input_nobg.glb.meta.json,0
